Transmission category,Transmission name,Transmission description,"Option 1 - e.g. Accept envoy, take this action, do this, etc etc",Option 2 - Take this alternative action,"Option 3 - take this alternative action (option 3 is usually a crazy explosive different action you can take, that is very unexpected)","Option 1 Consequences - e.g. faction relation boost +1 or -1 (never more than this), lose 100 astra/other resources, gain a ship, or a building level, etc etc",Option 2 consequences,Option 3 consequences
입항 호송대,입항 호송대 보고 011,"항만 관제소가 '입항 호송대 보고 011' 건을 접근 목록에 올렸습니다. 승객, 화물, 항로 기록은 아직 정리 중이며 현장 인력은 최종 지시를 기다리고 있습니다.",공식 절차로 받아들이고 항만이 혼란을 흡수하게 한다,검역과 세관 조건을 붙여 제한적으로 처리한다,비공식 조치로 화물과 주도권을 빼앗는다,테란 연합 관계 +1; 중수소 50 획득; 아우렐라이트 120 손실,아스트라 30 손실; 중수소 100 획득,테란 연합 관계 +1; 아스트라 140 획득; 벌크론 560 손실
입항 호송대,입항 호송대 보고 012,"항만 관제소가 '입항 호송대 보고 012' 건을 접근 목록에 올렸습니다. 승객, 화물, 항로 기록은 아직 정리 중이며 현장 인력은 최종 지시를 기다리고 있습니다.",공식 절차로 받아들이고 항만이 혼란을 흡수하게 한다,검역과 세관 조건을 붙여 제한적으로 처리한다,비공식 조치로 화물과 주도권을 빼앗는다,성간 연방 관계 +1; 아우렐라이트 40 획득; 아우렐라이트 90 손실,성간 연방 관계 -1; 아스트라 260 획득; 아우렐라이트 180 획득,성간 연방 관계 +1; 중수소 100 획득; 중수소 340 손실; 아우렐라이트 40 획득
입항 호송대,입항 호송대 보고 013,"항만 관제소가 '입항 호송대 보고 013' 건을 접근 목록에 올렸습니다. 승객, 화물, 항로 기록은 아직 정리 중이며 현장 인력은 최종 지시를 기다리고 있습니다.",공식 절차로 받아들이고 항만이 혼란을 흡수하게 한다,검역과 세관 조건을 붙여 제한적으로 처리한다,비공식 조치로 화물과 주도권을 빼앗는다,헬리오스 컨소시엄 관계 +1; 중수소 220 획득; 아우렐라이트 200 손실,헬리오스 컨소시엄 관계 +1; 아스트라 340 손실; 벌크론 220 손실,헬리오스 컨소시엄 관계 -1; 벌크론 560 획득; 아우렐라이트 180 손실; 아스트라 60 획득
입항 호송대,입항 호송대 보고 014,"항만 관제소가 '입항 호송대 보고 014' 건을 접근 목록에 올렸습니다. 승객, 화물, 항로 기록은 아직 정리 중이며 현장 인력은 최종 지시를 기다리고 있습니다.",공식 절차로 받아들이고 항만이 혼란을 흡수하게 한다,검역과 세관 조건을 붙여 제한적으로 처리한다,비공식 조치로 화물과 주도권을 빼앗는다,벌크론 420 획득; 아우렐라이트 120 손실,아스트라 240 손실; 중수소 120 획득,이클립스 도미니언 관계 -1; 벌크론 980 획득; 중수소 380 손실
입항 호송대,입항 호송대 보고 015,"항만 관제소가 '입항 호송대 보고 015' 건을 접근 목록에 올렸습니다. 승객, 화물, 항로 기록은 아직 정리 중이며 현장 인력은 최종 지시를 기다리고 있습니다.",공식 절차로 받아들이고 항만이 혼란을 흡수하게 한다,검역과 세관 조건을 붙여 제한적으로 처리한다,비공식 조치로 화물과 주도권을 빼앗는다,이클립스 도미니언 관계 +1; 중수소 90 획득; 아우렐라이트 300 손실,이클립스 도미니언 관계 -1; 벌크론 160 손실; 아우렐라이트 70 획득,이클립스 도미니언 관계 -1; 중수소 620 획득; 아스트라 240 손실
입항 호송대,입항 호송대 보고 016,"항만 관제소가 '입항 호송대 보고 016' 건을 접근 목록에 올렸습니다. 승객, 화물, 항로 기록은 아직 정리 중이며 현장 인력은 최종 지시를 기다리고 있습니다.",공식 절차로 받아들이고 항만이 혼란을 흡수하게 한다,검역과 세관 조건을 붙여 제한적으로 처리한다,비공식 조치로 화물과 주도권을 빼앗는다,성간 연방 관계 +1; 중수소 300 획득; 아스트라 460 손실,성간 연방 관계 +1; 벌크론 90 획득; 아우렐라이트 220 획득; 아우렐라이트 180 손실,성간 연방 관계 -1; 벌크론 420 획득; 벌크론 340 손실
입항 호송대,입항 호송대 보고 017,"항만 관제소가 '입항 호송대 보고 017' 건을 접근 목록에 올렸습니다. 승객, 화물, 항로 기록은 아직 정리 중이며 현장 인력은 최종 지시를 기다리고 있습니다.",공식 절차로 받아들이고 항만이 혼란을 흡수하게 한다,검역과 세관 조건을 붙여 제한적으로 처리한다,비공식 조치로 화물과 주도권을 빼앗는다,테란 연합 관계 +1; 아우렐라이트 90 획득; 중수소 30 손실,아우렐라이트 160 획득; 중수소 40 손실,테란 연합 관계 -1; 벌크론 140 획득; 아우렐라이트 260 손실
입항 호송대,입항 호송대 보고 018,"항만 관제소가 '입항 호송대 보고 018' 건을 접근 목록에 올렸습니다. 승객, 화물, 항로 기록은 아직 정리 중이며 현장 인력은 최종 지시를 기다리고 있습니다.",공식 절차로 받아들이고 항만이 혼란을 흡수하게 한다,검역과 세관 조건을 붙여 제한적으로 처리한다,비공식 조치로 화물과 주도권을 빼앗는다,아우렐라이트 90 획득; 아우렐라이트 20 손실,중수소 300 손실; 중수소 120 손실; 벌크론 230 획득,성간 연방 관계 -1; 벌크론 560 획득; 아스트라 240 손실
입항 호송대,입항 호송대 보고 019,"항만 관제소가 '입항 호송대 보고 019' 건을 접근 목록에 올렸습니다. 승객, 화물, 항로 기록은 아직 정리 중이며 현장 인력은 최종 지시를 기다리고 있습니다.",공식 절차로 받아들이고 항만이 혼란을 흡수하게 한다,검역과 세관 조건을 붙여 제한적으로 처리한다,비공식 조치로 화물과 주도권을 빼앗는다,테란 연합 관계 +1; 벌크론 50 획득; 아우렐라이트 340 손실,아스트라 120 획득; 벌크론 240 손실,테란 연합 관계 -1; 벌크론 460 획득; 벌크론 240 손실
입항 호송대,입항 호송대 보고 020,"항만 관제소가 '입항 호송대 보고 020' 건을 접근 목록에 올렸습니다. 승객, 화물, 항로 기록은 아직 정리 중이며 현장 인력은 최종 지시를 기다리고 있습니다.",공식 절차로 받아들이고 항만이 혼란을 흡수하게 한다,검역과 세관 조건을 붙여 제한적으로 처리한다,비공식 조치로 화물과 주도권을 빼앗는다,성간 연방 관계 +1; 아우렐라이트 80 획득; 아스트라 60 손실,벌크론 180 손실; 중수소 120 손실; 중수소 100 획득,성간 연방 관계 -1; 아스트라 1600 획득; 중수소 180 손실; 아우렐라이트 80 획득
입항 호송대,입항 호송대 보고 021,"항만 관제소가 '입항 호송대 보고 021' 건을 접근 목록에 올렸습니다. 승객, 화물, 항로 기록은 아직 정리 중이며 현장 인력은 최종 지시를 기다리고 있습니다.",공식 절차로 받아들이고 항만이 혼란을 흡수하게 한다,검역과 세관 조건을 붙여 제한적으로 처리한다,비공식 조치로 화물과 주도권을 빼앗는다,벌크론 30 획득; 벌크론 100 손실,아스트라 90 손실; 벌크론 140 획득,테란 연합 관계 -1; 중수소 100 획득; 벌크론 460 손실
입항 호송대,입항 호송대 보고 022,"항만 관제소가 '입항 호송대 보고 022' 건을 접근 목록에 올렸습니다. 승객, 화물, 항로 기록은 아직 정리 중이며 현장 인력은 최종 지시를 기다리고 있습니다.",공식 절차로 받아들이고 항만이 혼란을 흡수하게 한다,검역과 세관 조건을 붙여 제한적으로 처리한다,비공식 조치로 화물과 주도권을 빼앗는다,아우렐라이트 40 획득; 벌크론 40 손실,성간 연방 관계 +1; 중수소 420 획득; 아우렐라이트 50 획득; 아우렐라이트 270 손실,성간 연방 관계 -1; 중수소 1750 획득
입항 호송대,입항 호송대 보고 023,"항만 관제소가 '입항 호송대 보고 023' 건을 접근 목록에 올렸습니다. 승객, 화물, 항로 기록은 아직 정리 중이며 현장 인력은 최종 지시를 기다리고 있습니다.",공식 절차로 받아들이고 항만이 혼란을 흡수하게 한다,검역과 세관 조건을 붙여 제한적으로 처리한다,비공식 조치로 화물과 주도권을 빼앗는다,헬리오스 컨소시엄 관계 +1; 중수소 120 획득; 벌크론 180 손실,헬리오스 컨소시엄 관계 -1; 아우렐라이트 20 획득; 아스트라 70 손실,헬리오스 컨소시엄 관계 +1; 중수소 260 획득; 중수소 240 손실
입항 호송대,입항 호송대 보고 024,"항만 관제소가 '입항 호송대 보고 024' 건을 접근 목록에 올렸습니다. 승객, 화물, 항로 기록은 아직 정리 중이며 현장 인력은 최종 지시를 기다리고 있습니다.",공식 절차로 받아들이고 항만이 혼란을 흡수하게 한다,검역과 세관 조건을 붙여 제한적으로 처리한다,비공식 조치로 화물과 주도권을 빼앗는다,성간 연방 관계 +1; 벌크론 260 획득; 벌크론 40 손실,성간 연방 관계 -1; 아스트라 260 손실; 아스트라 240 획득,성간 연방 관계 -1; 중수소 760 획득; 벌크론 100 손실; 중수소 60 손실
입항 호송대,입항 호송대 보고 025,"항만 관제소가 '입항 호송대 보고 025' 건을 접근 목록에 올렸습니다. 승객, 화물, 항로 기록은 아직 정리 중이며 현장 인력은 최종 지시를 기다리고 있습니다.",공식 절차로 받아들이고 항만이 혼란을 흡수하게 한다,검역과 세관 조건을 붙여 제한적으로 처리한다,비공식 조치로 화물과 주도권을 빼앗는다,보이드본 조약 관계 +1; 중수소 40 획득; 벌크론 40 손실,중수소 340 손실; 아우렐라이트 150 획득,보이드본 조약 관계 -1; 중수소 1750 획득; 중수소 100 손실
입항 호송대,입항 호송대 보고 026,"항만 관제소가 '입항 호송대 보고 026' 건을 접근 목록에 올렸습니다. 승객, 화물, 항로 기록은 아직 정리 중이며 현장 인력은 최종 지시를 기다리고 있습니다.",공식 절차로 받아들이고 항만이 혼란을 흡수하게 한다,검역과 세관 조건을 붙여 제한적으로 처리한다,비공식 조치로 화물과 주도권을 빼앗는다,성간 연방 관계 +1; 아우렐라이트 80 획득; 아우렐라이트 120 손실,아스트라 200 손실; 중수소 20 손실; 중수소 110 획득,성간 연방 관계 -1; 벌크론 760 획득; 아스트라 160 손실; 중수소 20 손실
입항 호송대,입항 호송대 보고 027,"항만 관제소가 '입항 호송대 보고 027' 건을 접근 목록에 올렸습니다. 승객, 화물, 항로 기록은 아직 정리 중이며 현장 인력은 최종 지시를 기다리고 있습니다.",공식 절차로 받아들이고 항만이 혼란을 흡수하게 한다,검역과 세관 조건을 붙여 제한적으로 처리한다,비공식 조치로 화물과 주도권을 빼앗는다,아스트라 60 획득; 중수소 100 손실,아스트라 420 획득; 벌크론 100 획득; 벌크론 330 손실,이클립스 도미니언 관계 -1; 아우렐라이트 340 획득; 아스트라 560 손실
입항 호송대,입항 호송대 보고 028,"항만 관제소가 '입항 호송대 보고 028' 건을 접근 목록에 올렸습니다. 승객, 화물, 항로 기록은 아직 정리 중이며 현장 인력은 최종 지시를 기다리고 있습니다.",공식 절차로 받아들이고 항만이 혼란을 흡수하게 한다,검역과 세관 조건을 붙여 제한적으로 처리한다,비공식 조치로 화물과 주도권을 빼앗는다,아스트라 140 획득; 벌크론 140 손실,벌크론 120 손실; 아우렐라이트 120 획득,이클립스 도미니언 관계 -1; 벌크론 500 획득; 중수소 620 손실; 중수소 60 손실
입항 호송대,입항 호송대 보고 029,"항만 관제소가 '입항 호송대 보고 029' 건을 접근 목록에 올렸습니다. 승객, 화물, 항로 기록은 아직 정리 중이며 현장 인력은 최종 지시를 기다리고 있습니다.",공식 절차로 받아들이고 항만이 혼란을 흡수하게 한다,검역과 세관 조건을 붙여 제한적으로 처리한다,비공식 조치로 화물과 주도권을 빼앗는다,유목 부족 관계 +1; 벌크론 160 획득; 중수소 100 손실,아우렐라이트 70 획득; 아우렐라이트 20 손실,유목 부족 관계 +1; 아스트라 200 획득; 중수소 240 손실
입항 호송대,입항 호송대 보고 030,"항만 관제소가 '입항 호송대 보고 030' 건을 접근 목록에 올렸습니다. 승객, 화물, 항로 기록은 아직 정리 중이며 현장 인력은 최종 지시를 기다리고 있습니다.",공식 절차로 받아들이고 항만이 혼란을 흡수하게 한다,검역과 세관 조건을 붙여 제한적으로 처리한다,비공식 조치로 화물과 주도권을 빼앗는다,이클립스 도미니언 관계 +1; 벌크론 340 획득; 아우렐라이트 340 손실,아스트라 560 손실; 아스트라 100 획득,이클립스 도미니언 관계 -1; 아스트라 1240 획득; 중수소 180 손실
입항 호송대,입항 호송대 보고 031,"항만 관제소가 '입항 호송대 보고 031' 건을 접근 목록에 올렸습니다. 승객, 화물, 항로 기록은 아직 정리 중이며 현장 인력은 최종 지시를 기다리고 있습니다.",공식 절차로 받아들이고 항만이 혼란을 흡수하게 한다,검역과 세관 조건을 붙여 제한적으로 처리한다,비공식 조치로 화물과 주도권을 빼앗는다,이클립스 도미니언 관계 +1; 중수소 240 획득; 아우렐라이트 200 손실,이클립스 도미니언 관계 -1; 중수소 80 손실; 벌크론 220 획득,이클립스 도미니언 관계 -1; 벌크론 760 획득; 아우렐라이트 380 손실
입항 호송대,입항 호송대 보고 032,"항만 관제소가 '입항 호송대 보고 032' 건을 접근 목록에 올렸습니다. 승객, 화물, 항로 기록은 아직 정리 중이며 현장 인력은 최종 지시를 기다리고 있습니다.",공식 절차로 받아들이고 항만이 혼란을 흡수하게 한다,검역과 세관 조건을 붙여 제한적으로 처리한다,비공식 조치로 화물과 주도권을 빼앗는다,이클립스 도미니언 관계 +1; 아스트라 100 획득; 중수소 420 손실,중수소 620 손실; 중수소 220 획득,이클립스 도미니언 관계 +1; 중수소 560 획득; 중수소 260 손실
입항 호송대,입항 호송대 보고 033,"항만 관제소가 '입항 호송대 보고 033' 건을 접근 목록에 올렸습니다. 승객, 화물, 항로 기록은 아직 정리 중이며 현장 인력은 최종 지시를 기다리고 있습니다.",공식 절차로 받아들이고 항만이 혼란을 흡수하게 한다,검역과 세관 조건을 붙여 제한적으로 처리한다,비공식 조치로 화물과 주도권을 빼앗는다,성간 연방 관계 +1; 아우렐라이트 120 획득; 아우렐라이트 120 손실,아우렐라이트 70 획득; 벌크론 140 손실,gain 1 ship: Bulwark; 아스트라 1140 손실; 중수소 1140 손실; 벌크론 220 손실; 성간 연방 관계 -1; 중수소 140 획득
입항 호송대,입항 호송대 보고 034,"항만 관제소가 '입항 호송대 보고 034' 건을 접근 목록에 올렸습니다. 승객, 화물, 항로 기록은 아직 정리 중이며 현장 인력은 최종 지시를 기다리고 있습니다.",공식 절차로 받아들이고 항만이 혼란을 흡수하게 한다,검역과 세관 조건을 붙여 제한적으로 처리한다,비공식 조치로 화물과 주도권을 빼앗는다,벌크론 180 획득; 벌크론 140 손실,테란 연합 관계 +1; 아스트라 30 손실; 아스트라 100 획득,테란 연합 관계 -1; 아스트라 980 획득; 아스트라 100 손실; 아우렐라이트 40 손실
입항 호송대,입항 호송대 보고 035,"항만 관제소가 '입항 호송대 보고 035' 건을 접근 목록에 올렸습니다. 승객, 화물, 항로 기록은 아직 정리 중이며 현장 인력은 최종 지시를 기다리고 있습니다.",공식 절차로 받아들이고 항만이 혼란을 흡수하게 한다,검역과 세관 조건을 붙여 제한적으로 처리한다,비공식 조치로 화물과 주도권을 빼앗는다,보이드본 조약 관계 +1; 아스트라 140 획득; 아스트라 260 손실,보이드본 조약 관계 +1; 중수소 100 손실; 벌크론 70 손실,보이드본 조약 관계 -1; 아우렐라이트 120 획득; 아우렐라이트 160 손실
신호,신호 기록 001,"청취실이 '신호 기록 001' 건을 새 신호 파일로 열었습니다. 파형은 일정하지 않지만 반복성이 뚜렷하며, 출처는 아직 확인되지 않았습니다.",공개 기록에 남기고 관측소로 분석을 보낸다,민간 접근을 막고 제한 검토로 돌린다,금지된 해독과 추적 신호로 송신원을 끌어낸다,이클립스 도미니언 관계 +1; 중수소 20 획득; 벌크론 380 손실,이클립스 도미니언 관계 +1; 아스트라 240 획득; 아스트라 160 손실,이클립스 도미니언 관계 -1; 벌크론 1140 획득; 아스트라 380 손실; 아우렐라이트 80 획득
신호,신호 기록 002,"청취실이 '신호 기록 002' 건을 새 신호 파일로 열었습니다. 파형은 일정하지 않지만 반복성이 뚜렷하며, 출처는 아직 확인되지 않았습니다.",공개 기록에 남기고 관측소로 분석을 보낸다,민간 접근을 막고 제한 검토로 돌린다,금지된 해독과 추적 신호로 송신원을 끌어낸다,유목 부족 관계 +1; 중수소 200 획득; 중수소 460 손실,유목 부족 관계 +1; 아우렐라이트 160 획득; 아우렐라이트 160 손실,유목 부족 관계 -1; 아스트라 460 획득; 벌크론 120 손실; 중수소 90 획득
신호,신호 기록 003,"청취실이 '신호 기록 003' 건을 새 신호 파일로 열었습니다. 파형은 일정하지 않지만 반복성이 뚜렷하며, 출처는 아직 확인되지 않았습니다.",공개 기록에 남기고 관측소로 분석을 보낸다,민간 접근을 막고 제한 검토로 돌린다,금지된 해독과 추적 신호로 송신원을 끌어낸다,유목 부족 관계 +1; 벌크론 220 획득; 벌크론 420 손실,중수소 40 획득; 중수소 100 손실,유목 부족 관계 +1; 중수소 1480 획득; 중수소 580 손실
신호,신호 기록 004,"청취실이 '신호 기록 004' 건을 새 신호 파일로 열었습니다. 파형은 일정하지 않지만 반복성이 뚜렷하며, 출처는 아직 확인되지 않았습니다.",공개 기록에 남기고 관측소로 분석을 보낸다,민간 접근을 막고 제한 검토로 돌린다,금지된 해독과 추적 신호로 송신원을 끌어낸다,이클립스 도미니언 관계 +1; 벌크론 30 획득; 아우렐라이트 80 손실,이클립스 도미니언 관계 +1; 중수소 30 손실; 벌크론 120 획득,이클립스 도미니언 관계 -1; 아우렐라이트 380 획득; 아스트라 380 손실; 아우렐라이트 70 손실
신호,신호 기록 005,"청취실이 '신호 기록 005' 건을 새 신호 파일로 열었습니다. 파형은 일정하지 않지만 반복성이 뚜렷하며, 출처는 아직 확인되지 않았습니다.",공개 기록에 남기고 관측소로 분석을 보낸다,민간 접근을 막고 제한 검토로 돌린다,금지된 해독과 추적 신호로 송신원을 끌어낸다,이클립스 도미니언 관계 +1; 중수소 380 획득; 벌크론 290 손실,gain 1 ship: Hammer; 아스트라 820 손실; 아우렐라이트 460 손실; 이클립스 도미니언 관계 +1,이클립스 도미니언 관계 -1; 아스트라 820 획득; 벌크론 260 손실
신호,신호 기록 006,"청취실이 '신호 기록 006' 건을 새 신호 파일로 열었습니다. 파형은 일정하지 않지만 반복성이 뚜렷하며, 출처는 아직 확인되지 않았습니다.",공개 기록에 남기고 관측소로 분석을 보낸다,민간 접근을 막고 제한 검토로 돌린다,금지된 해독과 추적 신호로 송신원을 끌어낸다,헬리오스 컨소시엄 관계 +1; 아우렐라이트 40 획득; 아우렐라이트 40 손실,중수소 620 획득; 아스트라 120 손실,헬리오스 컨소시엄 관계 +1; 아우렐라이트 700 획득; 벌크론 120 손실; 벌크론 70 손실
신호,신호 기록 007,"청취실이 '신호 기록 007' 건을 새 신호 파일로 열었습니다. 파형은 일정하지 않지만 반복성이 뚜렷하며, 출처는 아직 확인되지 않았습니다.",공개 기록에 남기고 관측소로 분석을 보낸다,민간 접근을 막고 제한 검토로 돌린다,금지된 해독과 추적 신호로 송신원을 끌어낸다,중수소 160 획득; 아우렐라이트 80 손실,보이드본 조약 관계 -1; 아스트라 380 손실; 벌크론 100 획득,보이드본 조약 관계 +1; 아우렐라이트 820 획득; 아우렐라이트 160 손실
신호,신호 기록 008,"청취실이 '신호 기록 008' 건을 새 신호 파일로 열었습니다. 파형은 일정하지 않지만 반복성이 뚜렷하며, 출처는 아직 확인되지 않았습니다.",공개 기록에 남기고 관측소로 분석을 보낸다,민간 접근을 막고 제한 검토로 돌린다,금지된 해독과 추적 신호로 송신원을 끌어낸다,유목 부족 관계 +1; 아스트라 160 획득; 벌크론 90 손실,벌크론 260 획득; 아우렐라이트 60 손실,유목 부족 관계 -1; 벌크론 1480 획득; 아스트라 620 손실
신호,신호 기록 009,"청취실이 '신호 기록 009' 건을 새 신호 파일로 열었습니다. 파형은 일정하지 않지만 반복성이 뚜렷하며, 출처는 아직 확인되지 않았습니다.",공개 기록에 남기고 관측소로 분석을 보낸다,민간 접근을 막고 제한 검토로 돌린다,금지된 해독과 추적 신호로 송신원을 끌어낸다,유목 부족 관계 +1; 아우렐라이트 60 획득; 아우렐라이트 560 손실,중수소 240 획득; 아스트라 20 손실,gain 1 ship: Photon; 아스트라 1240 손실; 벌크론 760 손실; 아우렐라이트 240 손실; 유목 부족 관계 -1
신호,신호 기록 010,"청취실이 '신호 기록 010' 건을 새 신호 파일로 열었습니다. 파형은 일정하지 않지만 반복성이 뚜렷하며, 출처는 아직 확인되지 않았습니다.",공개 기록에 남기고 관측소로 분석을 보낸다,민간 접근을 막고 제한 검토로 돌린다,금지된 해독과 추적 신호로 송신원을 끌어낸다,테란 연합 관계 +1; 아스트라 200 획득; 중수소 160 손실,중수소 500 획득; 아우렐라이트 30 손실,테란 연합 관계 -1; 아우렐라이트 1600 획득; 아스트라 100 손실
신호,신호 기록 011,"청취실이 '신호 기록 011' 건을 새 신호 파일로 열었습니다. 파형은 일정하지 않지만 반복성이 뚜렷하며, 출처는 아직 확인되지 않았습니다.",공개 기록에 남기고 관측소로 분석을 보낸다,민간 접근을 막고 제한 검토로 돌린다,금지된 해독과 추적 신호로 송신원을 끌어낸다,유목 부족 관계 +1; 벌크론 30 획득; 아우렐라이트 220 손실,유목 부족 관계 -1; 아우렐라이트 40 손실; 벌크론 100 손실; 아우렐라이트 120 획득,유목 부족 관계 -1; 중수소 700 획득
