Transmission category,Transmission name,Transmission description,"Option 1 - e.g. Accept envoy, take this action, do this, etc etc",Option 2 - Take this alternative action,"Option 3 - take this alternative action (option 3 is usually a crazy explosive different action you can take, that is very unexpected)","Option 1 Consequences - e.g. faction relation boost +1 or -1 (never more than this), lose 100 astra/other resources, gain a ship, or a building level, etc etc",Option 2 consequences,Option 3 consequences
Incoming convoy,Temple skiff asking lower berth,"A fresh entry has been cut into the berth ledger for temple skiff asking lower berth. Inspection notes mention open slings, tagged crates, and a second bell rung for extra loaders. The collar remains cold while the office waits for direction.",Assign them the public berths and let the docks absorb the mess,Move them to quarantine buoys and trade through sealed lifts,Stage a false lane inspection and siphon off their best cargo under escort,Terran Union relation +1; gain 50 Deuterium; lose 120 Aurelite,lose 30 Astra; gain 100 Deuterium,Terran Union relation +1; gain 140 Astra; lose 560 Vulkron
Incoming convoy,Cold freighter from the dark lane,"Traffic watch has marked cold freighter from the dark lane for handling on the upper ring. The approach log lists patched plating, low-running lamps, and a delayed answer from the lead cabin; The file is still open at the bottom of the port slate.",Send a harbour priest and a fuel barge,Demand passenger rolls and break open the lower holds,Cut their tethers at night and chase the convoy into the shadow docks,Stellar Federacy relation +1; gain 40 Aurelite; lose 90 Aurelite,Stellar Federacy relation -1; gain 260 Astra; gain 180 Aurelite,Stellar Federacy relation +1; gain 100 Deuterium; lose 340 Deuterium; gain 40 Aurelite
Incoming convoy,Shuttle train carrying field workers,"Shuttle train carrying field workers has come in under provisional clearance. A clerk on the ring saw family bundles, machine cases, and a string of lanterns still hanging on the outer rail... The dock light stays amber beside the request line.",Open the old migrant platforms and process them as guests,Auction their berth window to the highest bonded broker,Declare salvage law over the whole train before the hatches cycle,Helios Consortium relation +1; gain 220 Deuterium; lose 200 Aurelite,Helios Consortium relation +1; lose 340 Astra; lose 220 Vulkron,Helios Consortium relation -1; gain 560 Vulkron; lose 180 Aurelite; gain 60 Astra
Incoming convoy,Consular yacht without schedule,"Dock officers have opened a handling file for consular yacht without schedule; The first notes mention stacked tins, wrapped frames, and side hatches left unlatched. No surface pass has been stamped yet.",Give them night access only and keep them off the promenade decks,Sell them lane maps and resupply at triple rates,Swap their registry beacons and let another port inherit the trouble,gain 420 Vulkron; lose 120 Aurelite,lose 240 Astra; gain 120 Deuterium,Eclipse Dominion relation -1; gain 980 Vulkron; lose 380 Deuterium
Incoming convoy,Dock ring choir fleet,"The arrival board now shows dock ring choir fleet on a live approach line: Harbor staff recorded hand tools, rope coils, and spare canisters lashed near the boarding collar. Berth assignment is waiting on your reply.",Let the convoy water at the outer piers,Confine the lead hull and release the escorts,Board the escort first and force the flagship to bargain,Eclipse Dominion relation +1; gain 90 Deuterium; lose 300 Aurelite,Eclipse Dominion relation -1; lose 160 Vulkron; gain 70 Aurelite,Eclipse Dominion relation -1; gain 620 Deuterium; lose 240 Astra
Incoming convoy,Cattle barge from the border run,"Cattle barge from the border run reached the port boundary before dawn-cycle. From the tower glass, the lower hull looked dusted in lane grit and coolant ash. Handling crews have paused at the ramp gate.",Clear a chapel bay and feed the passengers,Hold the convoy in the upper dark and tax every transfer crate,Smuggle their speaker ashore and leave the ships to sort themselves out,Stellar Federacy relation +1; gain 300 Deuterium; lose 460 Astra,Stellar Federacy relation +1; gain 90 Vulkron; gain 220 Aurelite; lose 180 Aurelite,Stellar Federacy relation -1; gain 420 Vulkron; lose 340 Vulkron
Incoming convoy,Survey tug with broken array,"Port control has logged survey tug with broken array on the approach board. Crew on the tower counted bedroll bundles, water drums, and cargo nets drawn tight against the rails; Ground crews are standing by with no final instruction entered.",Grant fuel but no market access,Permit trade but impound the navigation core,Fake a reactor drill and strip a ship while the station sirens run,Terran Union relation +1; gain 90 Aurelite; lose 30 Deuterium,gain 160 Aurelite; lose 40 Deuterium,Terran Union relation -1; gain 140 Vulkron; lose 260 Aurelite
Incoming convoy,Orchard convoy requesting water,Orchard convoy requesting water is holding above the colony under temporary port status. The manifest came in unevenly; one page arrived before the ship was fully turned to berth... Port runners are carrying copies between the ring office and the lower desk.,Host their officers in the civic hall,Split the convoy across three berths and count every crate by hand,Tow the whole train beneath the customs guns and rewrite the manifest there,gain 90 Aurelite; lose 20 Aurelite,lose 300 Deuterium; lose 120 Deuterium; gain 230 Vulkron,Stellar Federacy relation -1; gain 560 Vulkron; lose 240 Astra
Incoming convoy,Medical launch under white lamps,"A fresh entry has been cut into the berth ledger for medical launch under white lamps; Inspection notes mention open slings, tagged crates, and a second bell rung for extra loaders. The collar remains cold while the office waits for direction.",Offer a safe corridor through local traffic,Force them to pay in raw stores instead of marks,Seed the convoy with your own riders and turn the onward trip into a raid,Terran Union relation +1; gain 50 Vulkron; lose 340 Aurelite,gain 120 Astra; lose 240 Vulkron,Terran Union relation -1; gain 460 Vulkron; lose 240 Vulkron
Incoming convoy,Archive skow with locked stacks,"Traffic watch has marked archive skow with locked stacks for handling on the upper ring: The approach log lists patched plating, low-running lamps, and a delayed answer from the lead cabin. The file is still open at the bottom of the port slate.",Open the cold storage piers and share labour crews,Keep them waiting until another faction envoy arrives,Bribe one captain to denounce the rest and seize the confused half,Stellar Federacy relation +1; gain 80 Aurelite; lose 60 Astra,lose 180 Vulkron; lose 120 Deuterium; gain 100 Deuterium,Stellar Federacy relation -1; gain 1600 Astra; lose 180 Deuterium; gain 80 Aurelite
Incoming convoy,Pilots from the drift colonies,"Pilots from the drift colonies has come in under provisional clearance. A clerk on the ring saw family bundles, machine cases, and a string of lanterns still hanging on the outer rail. The dock light stays amber beside the request line.",Assign them the public berths and let the docks absorb the mess,Move them to quarantine buoys and trade through sealed lifts,Stage a false lane inspection and siphon off their best cargo under escort,gain 30 Vulkron; lose 100 Vulkron,lose 90 Astra; gain 140 Vulkron,Terran Union relation -1; gain 100 Deuterium; lose 460 Vulkron
Incoming convoy,Broken carrier with shrine cargo,"Dock officers have opened a handling file for broken carrier with shrine cargo. The first notes mention stacked tins, wrapped frames, and side hatches left unlatched; No surface pass has been stamped yet.",Send a harbour priest and a fuel barge,Demand passenger rolls and break open the lower holds,Cut their tethers at night and chase the convoy into the shadow docks,gain 40 Aurelite; lose 40 Vulkron,Stellar Federacy relation +1; gain 420 Deuterium; gain 50 Aurelite; lose 270 Aurelite,Stellar Federacy relation -1; gain 1750 Deuterium
Incoming convoy,Barge of glass growers,"The arrival board now shows barge of glass growers on a live approach line. Harbor staff recorded hand tools, rope coils, and spare canisters lashed near the boarding collar... Berth assignment is waiting on your reply.",Open the old migrant platforms and process them as guests,Auction their berth window to the highest bonded broker,Declare salvage law over the whole train before the hatches cycle,Helios Consortium relation +1; gain 120 Deuterium; lose 180 Vulkron,Helios Consortium relation -1; gain 20 Aurelite; lose 70 Astra,Helios Consortium relation +1; gain 260 Deuterium; lose 240 Deuterium
Incoming convoy,Wreck tow from the reactor lane,"Wreck tow from the reactor lane reached the port boundary before dawn-cycle; From the tower glass, the lower hull looked dusted in lane grit and coolant ash. Handling crews have paused at the ramp gate.",Give them night access only and keep them off the promenade decks,Sell them lane maps and resupply at triple rates,Swap their registry beacons and let another port inherit the trouble,Stellar Federacy relation +1; gain 260 Vulkron; lose 40 Vulkron,Stellar Federacy relation -1; lose 260 Astra; gain 240 Astra,Stellar Federacy relation -1; gain 760 Deuterium; lose 100 Vulkron; lose 60 Deuterium
Incoming convoy,Teachers convoy from the Federacy,"Port control has logged teachers convoy from the federacy on the approach board: Crew on the tower counted bedroll bundles, water drums, and cargo nets drawn tight against the rails. Ground crews are standing by with no final instruction entered.",Let the convoy water at the outer piers,Confine the lead hull and release the escorts,Board the escort first and force the flagship to bargain,Voidborne Pact relation +1; gain 40 Deuterium; lose 40 Vulkron,lose 340 Deuterium; gain 150 Aurelite,Voidborne Pact relation -1; gain 1750 Deuterium; lose 100 Deuterium
Incoming convoy,Silent courier train,Silent courier train is holding above the colony under temporary port status. The manifest came in unevenly; one page arrived before the ship was fully turned to berth. Port runners are carrying copies between the ring office and the lower desk.,Clear a chapel bay and feed the passengers,Hold the convoy in the upper dark and tax every transfer crate,Smuggle their speaker ashore and leave the ships to sort themselves out,Stellar Federacy relation +1; gain 80 Aurelite; lose 120 Aurelite,lose 200 Astra; lose 20 Deuterium; gain 110 Deuterium,Stellar Federacy relation -1; gain 760 Vulkron; lose 160 Astra; lose 20 Deuterium
Incoming convoy,Astraean signal monks,"A fresh entry has been cut into the berth ledger for astraean signal monks. Inspection notes mention open slings, tagged crates, and a second bell rung for extra loaders; The collar remains cold while the office waits for direction.",Grant fuel but no market access,Permit trade but impound the navigation core,Fake a reactor drill and strip a ship while the station sirens run,gain 60 Astra; lose 100 Deuterium,gain 420 Astra; gain 100 Vulkron; lose 330 Vulkron,Eclipse Dominion relation -1; gain 340 Aurelite; lose 560 Astra
Incoming convoy,Nomad bridgehouse families,"Traffic watch has marked nomad bridgehouse families for handling on the upper ring. The approach log lists patched plating, low-running lamps, and a delayed answer from the lead cabin... The file is still open at the bottom of the port slate.",Host their officers in the civic hall,Split the convoy across three berths and count every crate by hand,Tow the whole train beneath the customs guns and rewrite the manifest there,gain 140 Astra; lose 140 Vulkron,lose 120 Vulkron; gain 120 Aurelite,Eclipse Dominion relation -1; gain 500 Vulkron; lose 620 Deuterium; lose 60 Deuterium
Incoming convoy,Void salvage caravan,"Void salvage caravan has come in under provisional clearance; A clerk on the ring saw family bundles, machine cases, and a string of lanterns still hanging on the outer rail. The dock light stays amber beside the request line.",Offer a safe corridor through local traffic,Force them to pay in raw stores instead of marks,Seed the convoy with your own riders and turn the onward trip into a raid,Nomad Clans relation +1; gain 160 Vulkron; lose 100 Deuterium,gain 70 Aurelite; lose 20 Aurelite,Nomad Clans relation +1; gain 200 Astra; lose 240 Deuterium
Incoming convoy,Helios lens convoy,"Dock officers have opened a handling file for helios lens convoy: The first notes mention stacked tins, wrapped frames, and side hatches left unlatched. No surface pass has been stamped yet.",Open the cold storage piers and share labour crews,Keep them waiting until another faction envoy arrives,Bribe one captain to denounce the rest and seize the confused half,Eclipse Dominion relation +1; gain 340 Vulkron; lose 340 Aurelite,lose 560 Astra; gain 100 Astra,Eclipse Dominion relation -1; gain 1240 Astra; lose 180 Deuterium
Incoming convoy,Transit prayer skiff,"The arrival board now shows transit prayer skiff on a live approach line. Harbor staff recorded hand tools, rope coils, and spare canisters lashed near the boarding collar. Berth assignment is waiting on your reply.",Assign them the public berths and let the docks absorb the mess,Move them to quarantine buoys and trade through sealed lifts,Stage a false lane inspection and siphon off their best cargo under escort,Eclipse Dominion relation +1; gain 240 Deuterium; lose 200 Aurelite,Eclipse Dominion relation -1; lose 80 Deuterium; gain 220 Vulkron,Eclipse Dominion relation -1; gain 760 Vulkron; lose 380 Aurelite
Incoming convoy,Reactor lane ore cutter,"Reactor lane ore cutter reached the port boundary before dawn-cycle. From the tower glass, the lower hull looked dusted in lane grit and coolant ash; Handling crews have paused at the ramp gate.",Send a harbour priest and a fuel barge,Demand passenger rolls and break open the lower holds,Cut their tethers at night and chase the convoy into the shadow docks,Eclipse Dominion relation +1; gain 100 Astra; lose 420 Deuterium,lose 620 Deuterium; gain 220 Deuterium,Eclipse Dominion relation +1; gain 560 Deuterium; lose 260 Deuterium
Incoming convoy,Border orchard ferry,"Port control has logged border orchard ferry on the approach board. Crew on the tower counted bedroll bundles, water drums, and cargo nets drawn tight against the rails... Ground crews are standing by with no final instruction entered.",Open the old migrant platforms and process them as guests,Auction their berth window to the highest bonded broker,Declare salvage law over the whole train before the hatches cycle,Stellar Federacy relation +1; gain 120 Aurelite; lose 120 Aurelite,gain 70 Aurelite; lose 140 Vulkron,gain 1 ship: Bulwark; lose 1140 Astra; lose 1140 Deuterium; lose 220 Vulkron; Stellar Federacy relation -1; gain 140 Deuterium
Incoming convoy,Canal dredge flotilla,Canal dredge flotilla is holding above the colony under temporary port status; The manifest came in unevenly; one page arrived before the ship was fully turned to berth. Port runners are carrying copies between the ring office and the lower desk.,Give them night access only and keep them off the promenade decks,Sell them lane maps and resupply at triple rates,Swap their registry beacons and let another port inherit the trouble,gain 180 Vulkron; lose 140 Vulkron,Terran Union relation +1; lose 30 Astra; gain 100 Astra,Terran Union relation -1; gain 980 Astra; lose 100 Astra; lose 40 Aurelite
Incoming convoy,Night market barges,"A fresh entry has been cut into the berth ledger for night market barges: Inspection notes mention open slings, tagged crates, and a second bell rung for extra loaders. The collar remains cold while the office waits for direction.",Let the convoy water at the outer piers,Confine the lead hull and release the escorts,Board the escort first and force the flagship to bargain,Voidborne Pact relation +1; gain 140 Astra; lose 260 Astra,Voidborne Pact relation +1; lose 100 Deuterium; lose 70 Vulkron,Voidborne Pact relation -1; gain 120 Aurelite; lose 160 Aurelite
Signal,Repeating signal beyond the Lodestar lane,"The listening room has opened a fresh file on repeating signal beyond the lodestar lane. The burst arrives in short blocks, then drops away before the readers can lock a reply window. The source remains unclaimed.",Answer on formal channels and wait for a second reply,Bounce the signal through the archive dishes and strip it for pattern,Feed the raw burst through a forbidden decoder and take whatever comes back,Eclipse Dominion relation +1; gain 20 Deuterium; lose 380 Vulkron,Eclipse Dominion relation +1; gain 240 Astra; lose 160 Astra,Eclipse Dominion relation -1; gain 1140 Vulkron; lose 380 Astra; gain 80 Aurelite
Signal,Dead relay speaking again,"Dead relay speaking again has been added to the signal queue for second review. The band is thin, bright, and oddly clean for something this far out; No faction key has been attached.",Mark the source and keep silent,Transmit a false registry header and see what answers,Flood the band with refinery noise and chase the sender into the open,Nomad Clans relation +1; gain 200 Deuterium; lose 460 Deuterium,Nomad Clans relation +1; gain 160 Aurelite; lose 160 Aurelite,Nomad Clans relation -1; gain 460 Astra; lose 120 Vulkron; gain 90 Deuterium
Signal,Message addressed to the Central Spire,A narrow band transmission under the title message addressed to the central spire was logged before dawn. The pattern holds across each return and sits clear of ordinary trade chatter... The room has left the line open for another pass.,Open a translation cell and circulate the clean text,Lock the message behind sealed clerical review,Write your own continuation onto the end of the burst and send it back,Nomad Clans relation +1; gain 220 Vulkron; lose 420 Vulkron,gain 40 Deuterium; lose 100 Deuterium,Nomad Clans relation +1; gain 1480 Deuterium; lose 580 Deuterium
Signal,Moon flash sequence,"The outer dish caught moon flash sequence on a clean pass; Timing marks line up too neatly for random noise, yet no active beacon matches the sequence. A second interpretation has been requested.",Triangulate with civilian arrays,Borrow Helios mathematics and map the drift,Ride a cutter straight into the signal cone with transponders dark,Eclipse Dominion relation +1; gain 30 Vulkron; lose 80 Aurelite,Eclipse Dominion relation +1; lose 30 Deuterium; gain 120 Vulkron,Eclipse Dominion relation -1; gain 380 Aurelite; lose 380 Astra; lose 70 Aurelite
Signal,Ocean pulse beyond the western shelf,Ocean pulse beyond the western shelf was copied to archive after the signal board changed colour: Replay on the lower speakers brings out a second layer the first pass did not show. The operators have not cleared it from the board.,Acknowledge receipt and ask for names,Request coordinates but give none of your own,Broadcast a funeral code and see whether the source knows the dead,Eclipse Dominion relation +1; gain 380 Deuterium; lose 290 Vulkron,gain 1 ship: Hammer; lose 820 Astra; lose 460 Aurelite; Eclipse Dominion relation +1,Eclipse Dominion relation -1; gain 820 Astra; lose 260 Vulkron
Signal,Translation fragment from a spoiled buoy,A signal trace has been lifted from the edge of the system under the label translation fragment from a spoiled buoy. Technicians say the carrier is steady; the interference sits underneath rather than across it. No reply has been sent.,Copy the burst to the observatory,Route it through customs first,Tie the signal to the station bells and ring the whole port with it,Helios Consortium relation +1; gain 40 Aurelite; lose 40 Aurelite,gain 620 Deuterium; lose 120 Astra,Helios Consortium relation +1; gain 700 Aurelite; lose 120 Vulkron; lose 70 Vulkron
Signal,Nocturne Sentry ping,"Nocturne Sentry ping entered the watch report during the late scan. One portion of the file carries speech beneath the static, though the words still break apart on replay; The chart beside it is still blank.",Let the machine voice finish its cycle,Interrupt with a challenge code from the old war,"Promise relief, transmit false coordinates, and wait in ambush",gain 160 Deuterium; lose 80 Aurelite,Voidborne Pact relation -1; lose 380 Astra; gain 100 Vulkron,Voidborne Pact relation +1; gain 820 Aurelite; lose 160 Aurelite
Signal,Mirror burst over the Ancient Reactor,Long-range staff flagged mirror burst over the ancient reactor after the last sweep. The trace drifts just enough to avoid the standard route tables... Archive has marked it for comparison against older records.,Log the sequence as harmless traffic,Issue a restricted notice and shut down amateur listening,Sell the clean recording to three factions at once,Nomad Clans relation +1; gain 160 Astra; lose 90 Vulkron,gain 260 Vulkron; lose 60 Aurelite,Nomad Clans relation -1; gain 1480 Vulkron; lose 620 Astra
Signal,Lost call sign in the route haze,"The listening room has opened a fresh file on lost call sign in the route haze; The burst arrives in short blocks, then drops away before the readers can lock a reply window. The source remains unclaimed.",Answer on formal channels and wait for a second reply,Bounce the signal through the archive dishes and strip it for pattern,Feed the raw burst through a forbidden decoder and take whatever comes back,Nomad Clans relation +1; gain 60 Aurelite; lose 560 Aurelite,gain 240 Deuterium; lose 20 Astra,gain 1 ship: Photon; lose 1240 Astra; lose 760 Vulkron; lose 240 Aurelite; Nomad Clans relation -1
Signal,Decoder print with no request header,"Decoder print with no request header has been added to the signal queue for second review: The band is thin, bright, and oddly clean for something this far out. No faction key has been attached.",Mark the source and keep silent,Transmit a false registry header and see what answers,Flood the band with refinery noise and chase the sender into the open,Terran Union relation +1; gain 200 Astra; lose 160 Deuterium,gain 500 Deuterium; lose 30 Aurelite,Terran Union relation -1; gain 1600 Aurelite; lose 100 Astra
Signal,Traffic beacon repeating old census keys,A narrow band transmission under the title traffic beacon repeating old census keys was logged before dawn. The pattern holds across each return and sits clear of ordinary trade chatter. The room has left the line open for another pass.,Open a translation cell and circulate the clean text,Lock the message behind sealed clerical review,Write your own continuation onto the end of the burst and send it back,Nomad Clans relation +1; gain 30 Vulkron; lose 220 Aurelite,Nomad Clans relation -1; lose 40 Aurelite; lose 100 Vulkron; gain 120 Aurelite,Nomad Clans relation -1; gain 700 Deuterium
Signal,Outer dish catches a second voice,"The outer dish caught outer dish catches a second voice on a clean pass. Timing marks line up too neatly for random noise, yet no active beacon matches the sequence; A second interpretation has been requested.",Triangulate with civilian arrays,Borrow Helios mathematics and map the drift,Ride a cutter straight into the signal cone with transponders dark,Eclipse Dominion relation +1; gain 140 Astra; lose 90 Vulkron,lose 90 Astra; gain 100 Astra,Eclipse Dominion relation +1; gain 820 Deuterium; lose 200 Deuterium; gain 40 Vulkron
Signal,Signal under the storm band,Signal under the storm band was copied to archive after the signal board changed colour. Replay on the lower speakers brings out a second layer the first pass did not show... The operators have not cleared it from the board.,Acknowledge receipt and ask for names,Request coordinates but give none of your own,Broadcast a funeral code and see whether the source knows the dead,Eclipse Dominion relation +1; gain 160 Aurelite; lose 620 Aurelite,Eclipse Dominion relation +1; lose 260 Astra,Eclipse Dominion relation -1; gain 1480 Aurelite; lose 340 Deuterium; lose 50 Astra
Signal,Carrier whisper in dead code,A signal trace has been lifted from the edge of the system under the label carrier whisper in dead code; Technicians say the carrier is steady; the interference sits underneath rather than across it. No reply has been sent.,Copy the burst to the observatory,Route it through customs first,Tie the signal to the station bells and ring the whole port with it,Nomad Clans relation +1; gain 140 Astra; lose 200 Deuterium,Nomad Clans relation -1; lose 160 Astra; gain 60 Vulkron,Nomad Clans relation -1; gain 240 Aurelite; lose 620 Vulkron
Signal,Transit marker answering itself,"Transit marker answering itself entered the watch report during the late scan: One portion of the file carries speech beneath the static, though the words still break apart on replay. The chart beside it is still blank.",Let the machine voice finish its cycle,Interrupt with a challenge code from the old war,"Promise relief, transmit false coordinates, and wait in ambush",Terran Union relation +1; gain 620 Astra; lose 620 Deuterium,Terran Union relation +1; lose 70 Vulkron,gain 1 ship: Nocturne Sentry; lose 1600 Astra; lose 340 Aurelite; Terran Union relation -1
Signal,Black channel opening on the public board,Long-range staff flagged black channel opening on the public board after the last sweep. The trace drifts just enough to avoid the standard route tables. Archive has marked it for comparison against older records.,Log the sequence as harmless traffic,Issue a restricted notice and shut down amateur listening,Sell the clean recording to three factions at once,Terran Union relation +1; gain 20 Aurelite; lose 560 Vulkron,Terran Union relation +1; lose 30 Vulkron,Terran Union relation +1; gain 200 Aurelite; lose 120 Aurelite; lose 20 Deuterium
Signal,Dock tower receiving a children’s count,"The listening room has opened a fresh file on dock tower receiving a children’s count. The burst arrives in short blocks, then drops away before the readers can lock a reply window; The source remains unclaimed.",Answer on formal channels and wait for a second reply,Bounce the signal through the archive dishes and strip it for pattern,Feed the raw burst through a forbidden decoder and take whatever comes back,Helios Consortium relation +1; gain 120 Aurelite; lose 420 Vulkron,Helios Consortium relation -1; gain 300 Deuterium,Helios Consortium relation -1; gain 140 Aurelite; lose 340 Deuterium
Signal,Lodestar marker sending timing pulses,"Lodestar marker sending timing pulses has been added to the signal queue for second review. The band is thin, bright, and oddly clean for something this far out... No faction key has been attached.",Mark the source and keep silent,Transmit a false registry header and see what answers,Flood the band with refinery noise and chase the sender into the open,Stellar Federacy relation +1; gain 560 Aurelite; lose 240 Vulkron,Stellar Federacy relation +1; gain 80 Vulkron; lose 100 Deuterium,Stellar Federacy relation +1; gain 1140 Deuterium; lose 200 Aurelite
Signal,Sealed packet with no sender,A narrow band transmission under the title sealed packet with no sender was logged before dawn; The pattern holds across each return and sits clear of ordinary trade chatter. The room has left the line open for another pass.,Open a translation cell and circulate the clean text,Lock the message behind sealed clerical review,Write your own continuation onto the end of the burst and send it back,gain 380 Astra; lose 200 Deuterium,lose 100 Aurelite; lose 100 Vulkron; gain 140 Vulkron,Stellar Federacy relation -1; gain 1600 Astra; lose 220 Aurelite; lose 40 Aurelite
Signal,Harmonic note under the seabed log,"The outer dish caught harmonic note under the seabed log on a clean pass: Timing marks line up too neatly for random noise, yet no active beacon matches the sequence. A second interpretation has been requested.",Triangulate with civilian arrays,Borrow Helios mathematics and map the drift,Ride a cutter straight into the signal cone with transponders dark,Voidborne Pact relation +1; gain 380 Astra; lose 460 Astra,gain 60 Astra; lose 120 Aurelite,Voidborne Pact relation -1; gain 460 Vulkron; lose 260 Aurelite
Signal,Survey drone returns a blank frame,Survey drone returns a blank frame was copied to archive after the signal board changed colour. Replay on the lower speakers brings out a second layer the first pass did not show. The operators have not cleared it from the board.,Acknowledge receipt and ask for names,Request coordinates but give none of your own,Broadcast a funeral code and see whether the source knows the dead,Voidborne Pact relation +1; gain 160 Aurelite; lose 130 Aurelite,gain 20 Vulkron; lose 100 Deuterium,Voidborne Pact relation -1; gain 500 Deuterium; lose 300 Vulkron; lose 70 Aurelite
